r,sram_mib,tensor_cores,total_time_ms,effective_tflops,router_time_ms,up_gate_x512_time_ms,down_x512_time_ms
2.126959386668692e-05,0.02036983963566971,4625.0,57.80120997647059,86.04615942802262,0.29812454901960783,38.1599422745098,19.343143152941177
2.2104546299710195e-05,0.021169471601879212,4625.0,57.80120997647059,86.04615942802262,0.29812454901960783,38.1599422745098,19.343143152941177
2.297227536071151e-05,0.02200049366702033,4625.0,57.80120997647059,86.04615942802262,0.29812454901960783,38.1599422745098,19.343143152941177
2.387406771860647e-05,0.022864138070864046,4625.0,57.80120997647059,86.04615942802262,0.29812454901960783,38.1599422745098,19.343143152941177
2.4811260551377654e-05,0.023761685425595067,4625.0,57.80120997647059,86.04615942802262,0.29812454901960783,38.1599422745098,19.343143152941177
2.5785243528842763e-05,0.0246944666147042,4625.0,53.5904577254902,92.80704699788988,0.29812454901960783,38.1599422745098,15.132390901960784
2.6797460873256894e-05,0.025663864766422222,4625.0,53.5904577254902,92.80704699788988,0.29812454901960783,38.1599422745098,15.132390901960784
2.784941350080644e-05,0.026671317304623573,4624.0,53.5904577254902,92.80704699788988,0.29812454901960783,38.1599422745098,15.132390901960784
2.8942661247167517e-05,0.027718318080238346,4624.0,53.5904577254902,92.80704699788988,0.29812454901960783,38.1599422745098,15.132390901960784
3.007882518043096e-05,0.028806419586335088,4624.0,53.5904577254902,92.80704699788988,0.29812454901960783,38.1599422745098,15.132390901960784
3.1259590004822776e-05,0.029937235260158176,4624.0,53.5904577254902,92.80704699788988,0.29812454901960783,38.1599422745098,15.132390901960784
3.248670655878375e-05,0.03111244187553274,4624.0,53.5904577254902,92.80704699788988,0.29812454901960783,38.1599422745098,15.132390901960784
3.376199441111333e-05,0.0323337820291855,4624.0,38.75413534117647,128.33655260226007,0.19943504313725488,25.527685521568625,13.027014776470589
3.508734455902715e-05,0.03360306672466807,4624.0,38.75413534117647,128.33655260226007,0.19943504313725488,25.527685521568625,13.027014776470589
3.646472223212745e-05,0.034922178057712784,4624.0,38.75413534117647,128.33655260226007,0.19943504313725488,25.527685521568625,13.027014776470589
3.789616980644716e-05,0.036293072007005794,4624.0,38.75413534117647,128.33655260226007,0.19943504313725488,25.527685521568625,13.027014776470589
3.938380983288489e-05,0.037717781334512104,4624.0,38.75413534117647,128.33655260226007,0.19943504313725488,25.527685521568625,13.027014776470589
4.092984818452434e-05,0.039198418599655914,4624.0,38.75413534117647,128.33655260226007,0.19943504313725488,25.527685521568625,13.027014776470589
4.253657732750392e-05,0.04073717929182465,4624.0,38.75413534117647,128.33655260226007,0.19943504313725488,25.527685521568625,13.027014776470589
4.42063797202853e-05,0.042336345085840464,4624.0,38.75413534117647,128.33655260226007,0.19943504313725488,25.527685521568625,13.027014776470589
4.594173134636476e-05,0.043998287225229485,4624.0,38.75413534117647,128.33655260226007,0.19943504313725488,25.527685521568625,13.027014776470589
4.774520538566131e-05,0.045725470038301526,4624.0,38.75413534117647,128.33655260226007,0.19943504313725488,25.527685521568625,13.027014776470589
4.961947603002898e-05,0.047520454592257184,4624.0,36.648759215686276,135.70915455820477,0.19943504313725488,25.527685521568625,10.921638650980391
5.1567322448549635e-05,0.0493859024907393,4624.0,36.648759215686276,135.70915455820477,0.19943504313725488,25.527685521568625,10.921638650980391
5.3591632908485145e-05,0.05132457982045918,4624.0,36.648759215686276,135.70915455820477,0.19943504313725488,25.527685521568625,10.921638650980391
5.5695409058001245e-05,0.05333936125275105,4624.0,36.648759215686276,135.70915455820477,0.19943504313725488,25.527685521568625,10.921638650980391
5.78817703770128e-05,0.05543323430613596,4624.0,36.648759215686276,135.70915455820477,0.19943504313725488,25.527685521568625,10.921638650980391
6.015395880274833e-05,0.057609303776214045,4624.0,36.648759215686276,135.70915455820477,0.19943504313725488,25.527685521568625,10.921638650980391
6.251534353689711e-05,0.05987079633945788,4624.0,36.648759215686276,135.70915455820477,0.19943504313725488,25.527685521568625,10.921638650980391
6.496942604146125e-05,0.06222106533772817,4624.0,36.648759215686276,135.70915455820477,0.19943504313725488,25.527685521568625,10.921638650980391
6.751984523072494e-05,0.06466359575061041,4624.0,29.23059802352941,170.1495167756911,0.15009029019607845,19.21155714509804,9.868950588235293
7.017038286703822e-05,0.06720200936294415,4624.0,29.23059802352941,170.1495167756911,0.15009029019607845,19.21155714509804,9.868950588235293
7.292496916841445e-05,0.06984007013520593,4624.0,29.23059802352941,170.1495167756911,0.15009029019607845,19.21155714509804,9.868950588235293
7.578768863625914e-05,0.07258168978471122,4624.0,29.23059802352941,170.1495167756911,0.15009029019607845,19.21155714509804,9.868950588235293
7.876278611187063e-05,0.07543093358591087,4624.0,29.23059802352941,170.1495167756911,0.15009029019607845,19.21155714509804,9.868950588235293
